Sender -> Receiver: Amount
0 -> 3065 : 926693
3065 -> 4449 : 552126
4449 -> 9680 : 377124
0 -> 3848 : 20725
9680 -> 5436 : 222471
3848 -> 927 : 2351
5436 -> 4478 : 99127
5436 -> 6482 : 61049
927 -> 909 : 75
3848 -> 8457 : 7991
9680 -> 4878 : 136542
909 -> 2585 : 74
0 -> 6345 : 3126
3065 -> 7903 : 183751
3848 -> 8376 : 6469
927 -> 5805 : 989
7903 -> 3433 : 124593
909 -> 4115 : 1
4878 -> 9522 : 6962
0 -> 5494 : 5015
4878 -> 7198 : 36331
927 -> 1152 : 609
4478 -> 8752 : 79539
3065 -> 4317 : 50301
5494 -> 4089 : 2505
6482 -> 3637 : 59856
8376 -> 654 : 1177
7903 -> 4161 : 58812
3637 -> 8508 : 3391
927 -> 7149 : 620
3637 -> 6068 : 34245
654 -> 5643 : 81
6482 -> 3506 : 369
5805 -> 6418 : 452
4115 -> 4379 : 1
4478 -> 6460 : 3060
4449 -> 503 : 17910
4478 -> 5393 : 13275
4161 -> 9192 : 6526
8457 -> 8370 : 2958
927 -> 9121 : 27
4449 -> 2120 : 156812
9121 -> 689 : 18
6418 -> 6212 : 198
4161 -> 4995 : 43100
9121 -> 3471 : 3
5436 -> 9924 : 53397
503 -> 5770 : 735
5643 -> 2908 : 16
6345 -> 111 : 2233
3471 -> 9798 : 3
3848 -> 6241 : 956
4878 -> 1370 : 59565
4449 -> 8699 : 118
8370 -> 6345 : 2611
8699 -> 1880 : 29
654 -> 5342 : 1054
6068 -> 7509 : 31584
8370 -> 4446 : 240
4317 -> 9367 : 19621
5342 -> 7927 : 263
1370 -> 8867 : 29517
8376 -> 9573 : 3899
4446 -> 4056 : 47
927 -> 6200 : 7
503 -> 6389 : 389
9367 -> 4072 : 16866
1370 -> 9772 : 17025
8867 -> 5962 : 26758
3848 -> 9196 : 309
8752 -> 4422 : 32272
8508 -> 6014 : 3066
8457 -> 5138 : 955
6345 -> 1954 : 1554
4056 -> 2848 : 9
7149 -> 4868 : 486
9522 -> 375 : 410
5770 -> 3732 : 575
4161 -> 4070 : 7106
1954 -> 4257 : 303
4868 -> 3595 : 163
3848 -> 8808 : 2238
5770 -> 6696 : 156
6418 -> 7962 : 93
8752 -> 4115 : 13633
1370 -> 2051 : 10035
8457 -> 253 : 3157
689 -> 6366 : 10
927 -> 6942 : 1
8376 -> 6730 : 886
6345 -> 2127 : 665
7509 -> 6007 : 4585
3848 -> 2296 : 193
6696 -> 5699 : 41
4868 -> 374 : 221
8752 -> 436 : 17172
5436 -> 8449 : 7601
6014 -> 6817 : 1870
6014 -> 1349 : 1125
7198 -> 1044 : 28691
4070 -> 6873 : 6657
2296 -> 3958 : 95
0 -> 5812 : 37007
6212 -> 5471 : 107
3732 -> 9977 : 464
436 -> 4611 : 9701
4072 -> 1382 : 3997
