Sender -> Receiver: Amount
0 -> 309 : 55152
309 -> 662 : 12320
662 -> 730 : 1499
730 -> 112 : 594
662 -> 681 : 835
730 -> 388 : 703
112 -> 174 : 507
662 -> 76 : 430
174 -> 808 : 499
76 -> 786 : 306
388 -> 153 : 587
0 -> 806 : 636274
662 -> 826 : 8057
730 -> 78 : 188
806 -> 592 : 61409
388 -> 354 : 53
592 -> 800 : 54467
806 -> 254 : 490831
153 -> 874 : 319
662 -> 641 : 1489
153 -> 811 : 214
112 -> 206 : 22
730 -> 991 : 5
309 -> 638 : 16515
730 -> 68 : 2
826 -> 824 : 5428
730 -> 588 : 2
824 -> 725 : 5229
68 -> 305 : 2
0 -> 307 : 64262
0 -> 567 : 147416
567 -> 428 : 129988
76 -> 51 : 76
638 -> 834 : 5383
641 -> 873 : 1462
592 -> 480 : 4970
786 -> 231 : 178
428 -> 772 : 81092
206 -> 350 : 9
354 -> 575 : 12
588 -> 343 : 1
567 -> 524 : 16828
681 -> 472 : 538
730 -> 797 : 4
174 -> 197 : 4
873 -> 969 : 1215
662 -> 245 : 8
343 -> 196 : 1
811 -> 726 : 39
196 -> 21 : 1
808 -> 946 : 69
0 -> 433 : 60748
786 -> 668 : 48
433 -> 517 : 15396
811 -> 276 : 2
517 -> 924 : 9293
517 -> 725 : 1440
153 -> 506 : 32
726 -> 301 : 11
772 -> 640 : 47141
428 -> 710 : 34441
726 -> 271 : 10
824 -> 346 : 73
567 -> 285 : 68
811 -> 416 : 58
112 -> 477 : 10
245 -> 681 : 5
874 -> 81 : 145
806 -> 78 : 41210
874 -> 188 : 131
174 -> 635 : 1
197 -> 504 : 3
588 -> 298 : 1
772 -> 402 : 7722
197 -> 802 : 1
668 -> 204 : 16
276 -> 246 : 2
81 -> 639 : 77
309 -> 218 : 1301
575 -> 831 : 7
797 -> 424 : 1
802 -> 122 : 1
824 -> 684 : 120
668 -> 546 : 5
808 -> 721 : 394
231 -> 357 : 7
112 -> 267 : 22
174 -> 891 : 3
772 -> 213 : 19190
267 -> 301 : 15
730 -> 699 : 1
797 -> 537 : 2
824 -> 185 : 1
524 -> 676 : 10796
424 -> 938 : 1
346 -> 664 : 37
891 -> 27 : 2
684 -> 918 : 28
808 -> 393 : 28
639 -> 442 : 6
480 -> 888 : 978
185 -> 143 : 1
946 -> 750 : 24
218 -> 303 : 992
350 -> 565 : 4
442 -> 867 : 4
797 -> 489 : 1
153 -> 880 : 9
489 -> 91 : 1
831 -> 358 : 7
218 -> 138 : 60
206 -> 48 : 1
938 -> 904 : 1
245 -> 189 : 1
206 -> 632 : 1
725 -> 694 : 4933
694 -> 678 : 1016
880 -> 485 : 9
684 -> 543 : 84
480 -> 269 : 2355
668 -> 529 : 27
354 -> 399 : 12
51 -> 219 : 76
472 -> 871 : 228
269 -> 619 : 345
725 -> 335 : 815
619 -> 16 : 214
112 -> 253 : 7
335 -> 542 : 667
357 -> 155 : 7
253 -> 911 : 3
143 -> 806 : 1
393 -> 214 : 8
305 -> 581 : 1
684 -> 275 : 1
565 -> 846 : 4
